ENSEMBL	OriginalENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ENTREZID	SYMBOL	GENENAME
ENSG00000000971	ENSG00000000971.15	447.050733190694	-2.34755067367033	0.484603653920941	22.8137668117782	1.78482608336972e-06	1.86122226123741e-05	3075	CFH	complement factor H
ENSG00000002586	ENSG00000002586.18	1362.43945353137	-1.23416580277374	0.171140584834224	53.7121474128581	2.32123609447906e-13	7.91491306406871e-12	4267	CD99	CD99 molecule (Xg blood group)
ENSG00000002587	ENSG00000002587.9	174.529068166766	1.00330149403842	0.229354459385942	16.9340599616048	3.87009156687979e-05	0.000288787157286056	9957	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1
ENSG00000002746	ENSG00000002746.14	882.303034300576	1.56598039623315	0.220273122193513	42.2347301936563	8.09496012934398e-11	1.8834577296026e-09	23072	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
ENSG00000002933	ENSG00000002933.7	367.937048203145	-2.13449968662034	0.324251849115037	44.8010745273498	2.18102973127356e-11	5.55047758437635e-10	55365	TMEM176A	transmembrane protein 176A
ENSG00000003137	ENSG00000003137.8	522.801929957008	1.16403371319291	0.263890867944157	16.736164013339	4.29543616167228e-05	0.000316601949859322	56603	CYP26B1	cytochrome P450 family 26 subfamily B member 1
ENSG00000003147	ENSG00000003147.17	920.062688750811	1.32854513931269	0.150688665177414	71.1999746585593	3.22792252223214e-17	1.76068017773615e-15	3382	ICA1	islet cell autoantigen 1
ENSG00000003249	ENSG00000003249.13	1945.55041701604	1.16300908969758	0.239309386108393	19.6682068301774	9.21213609989513e-06	8.07317665779322e-05	79007	DBNDD1	dysbindin domain containing 1
ENSG00000003402	ENSG00000003402.19	1159.80378780159	-1.05875533779338	0.148856072778682	53.3569100392286	2.78131165889005e-13	9.42542965344837e-12	8837	CFLAR	CASP8 and FADD like apoptosis regulator
ENSG00000003436	ENSG00000003436.14	75.7837970399665	-1.60424304911754	0.369273851328399	19.4370081163836	1.03972682728696e-05	9.00452930281036e-05	7035	TFPI	tissue factor pathway inhibitor
ENSG00000004059	ENSG00000004059.10	3570.84526521172	1.0267680792499	0.181025975670604	27.9590098658998	1.23912650070406e-07	1.64697869577723e-06	381	ARF5	ADP ribosylation factor 5
ENSG00000004660	ENSG00000004660.14	3110.49477450932	1.94438013469701	0.329703046250224	25.0552876576435	5.57097754471822e-07	6.44477622390201e-06	84254	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1
ENSG00000004799	ENSG00000004799.7	1195.22285374216	-2.63997754139558	0.516001850562184	24.775882906313	6.43981965661238e-07	7.34467754084668e-06	5166	PDK4	pyruvate dehydrogenase kinase 4
ENSG00000005059	ENSG00000005059.15	77.6542972769569	-1.13751853606592	0.323342786080246	11.597741473335	0.000660319622007165	0.00344379358987498	55013	MCUB	mitochondrial calcium uniporter dominant negative subunit beta
ENSG00000005810	ENSG00000005810.17	3216.89649249737	1.1001135974537	0.260300366409425	14.2900782408644	0.000156688596167551	0.000989283510776398	23077	MYCBP2	MYC binding protein 2
ENSG00000005844	ENSG00000005844.17	82.5296359132471	-1.91505634840985	0.448823788625586	12.8480386213586	0.000337833165666011	0.00193083346833005	3683	ITGAL	integrin subunit alpha L
ENSG00000006116	ENSG00000006116.3	2031.62794838539	1.35970245001287	0.157583115945686	66.0029050128576	4.50258857786696e-16	2.14498137013809e-14	10368	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3
ENSG00000006283	ENSG00000006283.17	793.304122809301	1.31322367719995	0.158251724016367	61.4405938005169	4.56305049496336e-15	1.92456100430244e-13	8913	CACNA1G	calcium voltage-gated channel subunit alpha1 G
ENSG00000006432	ENSG00000006432.15	1440.32226039834	1.19593717220882	0.16056113566389	49.4292606813794	2.05655206580508e-12	6.10128874074734e-11	4293	MAP3K9	mitogen-activated protein kinase kinase kinase 9
ENSG00000006611	ENSG00000006611.15	197.244229890689	-2.2677272231788	0.58786216419798	12.741230532194	0.000357682287185243	0.00202332185997202	10083	USH1C	USH1 protein network component harmonin
ENSG00000006747	ENSG00000006747.14	166.898976669141	-3.69096265786764	0.688822171439237	17.6733398521801	2.62277011502691e-05	0.000205192097680591	85477	SCIN	scinderin
ENSG00000007171	ENSG00000007171.16	187.930214794809	1.77828645697132	0.286411902522163	31.826129901033	1.68609096116488e-08	2.6419680848655e-07	4843	NOS2	nitric oxide synthase 2
ENSG00000007174	ENSG00000007174.17	154.304616039792	1.0096650440861	0.123137569579047	67.8289591592344	1.78311265763589e-16	8.87775593709272e-15	1770	DNAH9	dynein axonemal heavy chain 9
ENSG00000007372	ENSG00000007372.20	790.424632933663	-1.63472005204825	0.509824933022092	10.1079930064116	0.00147627643550465	0.00688132289217563	5080	PAX6	paired box 6
ENSG00000007384	ENSG00000007384.15	237.929122236792	-1.09987765395412	0.157424669496837	50.170873707549	1.40924071258027e-12	4.32023618081667e-11	64285	RHBDF1	rhomboid 5 homolog 1
ENSG00000007866	ENSG00000007866.18	68.4750276319315	-1.68654969203503	0.364942650691376	22.1286075690154	2.54981510972988e-06	2.56289703910281e-05	7005	TEAD3	TEA domain transcription factor 3
ENSG00000007908	ENSG00000007908.15	21.0103970463071	-3.21997302397501	0.606433905512936	22.022913550721	2.69414875025589e-06	2.68595516327077e-05	6401	SELE	selectin E
ENSG00000008056	ENSG00000008056.12	10550.215192539	1.2026220935065	0.237972685594462	21.3769481818948	3.77280183304148e-06	3.62149108925572e-05	6853	SYN1	synapsin I
ENSG00000008118	ENSG00000008118.9	1177.14175871515	1.31162731180801	0.184148658017485	45.8327458677391	1.28792528873127e-11	3.37891587833626e-10	57172	CAMK1G	calcium/calmodulin dependent protein kinase IG
ENSG00000008394	ENSG00000008394.12	1288.3122418911	-2.71625837546407	0.680500444582012	12.9858327817796	0.000313856713673873	0.00180973213741349	4257	MGST1	microsomal glutathione S-transferase 1
ENSG00000008517	ENSG00000008517.16	131.300386879203	-1.15509684232183	0.181601325344702	38.9477049533129	4.35311756657393e-10	9.07603082567356e-09	9235	IL32	interleukin 32
ENSG00000008853	ENSG00000008853.16	3202.43040675865	1.05401831780262	0.18658333066985	27.8281572589406	1.32582446248683e-07	1.74748097645209e-06	23221	RHOBTB2	Rho related BTB domain containing 2
ENSG00000009709	ENSG00000009709.11	71.029893829822	2.20116724885815	0.289137394902436	51.6066523516228	6.7811425906763e-13	2.1734448212459e-11	5081	PAX7	paired box 7
ENSG00000010310	ENSG00000010310.8	80.3716638162534	-1.00541647752111	0.215013785012918	22.8352599868914	1.76497738402287e-06	1.84342700970389e-05	2696	GIPR	gastric inhibitory polypeptide receptor
ENSG00000010438	ENSG00000010438.16	496.622539673937	1.10605167433947	0.119363149781556	80.3709827249458	3.10318909218947e-19	2.10109381704092e-17	5646	PRSS3	serine protease 3
ENSG00000010610	ENSG00000010610.9	412.983118893462	-1.15011555028531	0.242126068422433	22.098924715515	2.58954756692213e-06	2.59495552037605e-05	920	CD4	CD4 molecule
ENSG00000010671	ENSG00000010671.15	42.0234165102396	-1.92306062111395	0.407615860922629	17.8018578965456	2.45143753370013e-05	0.000193571775109176	695	BTK	Bruton tyrosine kinase
ENSG00000010704	ENSG00000010704.18	64.1232944394551	-1.34592200014322	0.368303941914502	13.95237093135	0.0001875010299816	0.00115863598388592	3077	HFE	homeostatic iron regulator
ENSG00000010818	ENSG00000010818.8	2144.55052322559	1.1040444495701	0.210332992932515	23.1379954491092	1.50781591996024e-06	1.59853593640613e-05	3097	HIVEP2	HIVEP zinc finger 2
ENSG00000011083	ENSG00000011083.8	1742.10291800484	1.45970904504877	0.167283276125853	65.9824099173194	4.54965277687953e-16	2.16428812916242e-14	6534	SLC6A7	solute carrier family 6 member 7
ENSG00000011347	ENSG00000011347.9	3683.25777432013	1.07907226969035	0.201404224074584	24.6880918908717	6.73993324517085e-07	7.65794268408929e-06	9066	SYT7	synaptotagmin 7
ENSG00000011422	ENSG00000011422.11	87.226939702367	-1.28654521317229	0.227708437528379	30.7744325328679	2.89831506731574e-08	4.30894986815253e-07	5329	PLAUR	plasminogen activator, urokinase receptor
ENSG00000011426	ENSG00000011426.10	3256.27366109611	-1.53046394758206	0.233418765971282	45.3257326570584	1.66842533303247e-11	4.3189909578868e-10	54443	ANLN	anillin actin binding protein
ENSG00000011677	ENSG00000011677.12	687.272423412195	1.14874046878769	0.246184565392377	17.8186116976626	2.42994702595091e-05	0.000192103906595532	2556	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3
ENSG00000012048	ENSG00000012048.20	155.553547369383	-1.40975667625976	0.200065228824095	52.6257667948804	4.03559736967655e-13	1.32685792763278e-11	672	BRCA1	BRCA1 DNA repair associated
ENSG00000012124	ENSG00000012124.15	958.755641058174	-1.14908684027363	0.124346972650698	87.7936492070677	7.26518338391294e-21	5.89566070240131e-19	933	CD22	CD22 molecule
ENSG00000012211	ENSG00000012211.12	37.8095792630001	-1.01661491551192	0.223520475008239	20.8772342456231	4.89680007362453e-06	4.57343169640718e-05	4007	PRICKLE3	prickle planar cell polarity protein 3
ENSG00000012779	ENSG00000012779.10	119.653085759978	-2.16477681809883	0.495223254760642	12.7956154816064	0.00034743266023616	0.00197704101783726	240	ALOX5	arachidonate 5-lipoxygenase
ENSG00000013364	ENSG00000013364.18	887.610779095936	-1.46949888120725	0.269908882393576	25.689502245658	4.0100246235569e-07	4.78270552094184e-06	9961	MVP	major vault protein
ENSG00000013588	ENSG00000013588.6	32.922514628738	-3.40307384619756	0.52348716878398	44.3713505351119	2.71633327864403e-11	6.80295601532716e-10	9052	GPRC5A	G protein-coupled receptor class C group 5 member A
ENSG00000014641	ENSG00000014641.17	8128.83648671839	1.59022413095191	0.191319588696503	57.6848260171153	3.07667118708358e-14	1.18036507917903e-12	4190	MDH1	malate dehydrogenase 1
